,label,cluster,id,c0.4,c0.3,c0.25,c0.1,c0.05,cluster.ordered,count,pgkb,drugbank,drug,gene
1608,"(gm-csf,il-11)",2,36,2,2,2,26,30,7,17,0,0,gm-csf,il-11
1740,"(il-11,gm-csf)",2,37,2,2,2,27,31,7,17,0,0,il-11,gm-csf
390,"(capecitabine,dlts)",8,38,9,9,19,28,32,17,12,0,0,capecitabine,dlts
2695,"(pranlukast,cyslt1)",4,39,4,4,4,5,7,8,14,1,1,pranlukast,cyslt1
492,"(cetuximab,egfr)",4,40,6,18,20,29,33,8,630,0,1,cetuximab,egfr
1611,"(gm-csf,il-18)",2,41,2,2,2,3,4,7,24,0,0,gm-csf,il-18
815,"(cysteamine,gastrin)",16,42,18,19,21,30,34,25,37,0,0,cysteamine,gastrin
2295,"(nadh,nad1)",6,43,7,7,22,31,35,12,8,0,1,nadh,nad1
2296,"(nadh,nad3)",12,44,13,13,13,32,36,1,7,0,1,nadh,nad3
3257,"(telmisartan,abca1)",11,45,12,12,12,25,37,18,10,0,0,telmisartan,abca1
18,"(abciximab,p-selectin)",11,46,17,17,18,33,38,18,5,0,0,abciximab,p-selectin
404,"(capsaicin,ppargamma)",3,47,3,3,3,34,39,20,9,0,0,capsaicin,ppargamma
2253,"(mitoxantrone,abcg2)",7,48,19,20,23,35,40,3,90,0,0,mitoxantrone,abcg2
2297,"(nadh,nad4)",16,49,18,21,24,36,41,25,8,0,1,nadh,nad4
3467,"(vinblastine,mdr1)",7,50,19,20,25,37,42,3,40,0,0,vinblastine,mdr1
1582,"(glyburide,cyp2c9)",7,51,19,20,26,38,43,3,8,0,0,glyburide,cyp2c9
2622,"(pgi2,pgis)",12,52,13,13,13,32,44,1,33,0,1,pgi2,pgis
2605,"(pge2,pges)",17,53,20,22,27,39,45,2,35,0,0,pge2,pges
2683,"(pitavastatin,nf-kappab)",5,54,5,5,5,40,46,14,22,0,0,pitavastatin,nf-kappab
1562,"(glibenclamide,cftr)",4,55,6,6,6,41,47,8,96,0,1,glibenclamide,cftr
1532,"(genistein,ifn-gamma)",9,56,10,23,28,42,48,6,10,0,0,genistein,ifn-gamma
258,"(atra,mef2c)",8,57,9,9,9,10,12,17,5,0,0,atra,mef2c
812,"(cyclosporine,statin)",8,58,9,9,9,43,49,17,6,0,0,cyclosporine,statin
1509,"(genistein,aromatase)",5,59,5,5,5,44,50,14,15,0,0,genistein,aromatase
3419,"(vardenafil,pde5)",4,60,6,6,6,15,51,8,89,0,1,vardenafil,pde5
2014,"(lansoprazole,ho-1)",16,61,18,24,29,45,52,25,11,0,0,lansoprazole,ho-1
2381,"(noradrenaline,endothelin-1)",9,62,10,23,28,46,53,6,40,0,0,noradrenaline,endothelin-1
1827,"(il-2,nf-kappab)",5,63,5,25,30,47,54,14,83,0,0,il-2,nf-kappab
190,"(arsenite,parp)",3,64,3,3,3,48,55,20,7,0,0,arsenite,parp
1378,"(flutamide,lhrh)",5,65,21,26,31,49,56,14,29,0,0,flutamide,lhrh
818,"(d-amphetamine,amph)",16,66,18,21,32,50,57,25,40,0,0,d-amphetamine,amph
2079,"(lovastatin,cyp3a4)",15,67,16,27,33,51,58,10,18,1,0,lovastatin,cyp3a4
3335,"(topotecan,dlts)",8,68,9,9,19,28,32,17,10,0,0,topotecan,dlts
3200,"(suramin,vegf)",8,69,9,9,19,28,32,17,9,0,0,suramin,vegf
1728,"(hydroquinone,dt-diaphorase)",12,70,22,28,34,52,59,1,12,0,0,hydroquinone,dt-diaphorase
922,"(dexamethasone,lactase)",14,71,15,29,35,53,60,23,7,0,0,dexamethasone,lactase
3226,"(tamoxifen,heparanase)",3,72,3,3,3,4,61,20,6,0,0,tamoxifen,heparanase
3227,"(tamoxifen,her-2)",8,73,9,9,19,28,32,17,36,0,0,tamoxifen,her-2
2959,"(risperidone,cyp2d6)",7,74,8,8,8,54,62,3,93,1,0,risperidone,cyp2d6
3143,"(staurosporine,hsp27)",8,75,9,9,9,43,63,17,13,0,0,staurosporine,hsp27
221,"(atorvastatin,pcsk9)",16,76,18,24,29,55,64,25,16,0,0,atorvastatin,pcsk9
2738,"(promethazine,herg)",8,77,9,9,19,56,65,17,6,0,0,promethazine,herg
3063,"(sildenafil,copd)",10,78,11,11,11,13,66,24,15,0,0,sildenafil,copd
2970,"(rituximab,bcl-2)",3,79,3,3,3,34,39,20,31,0,0,rituximab,bcl-2
2087,"(lovastatin,p21ras)",16,80,23,30,36,57,67,25,18,0,0,lovastatin,p21ras
1274,"(fenofibrate,ldlr)",16,81,18,24,29,58,68,25,10,0,0,fenofibrate,ldlr
2603,"(pge2,pga1)",2,82,2,2,2,3,69,7,31,0,0,pge2,pga1
2119,"(melatonin,gnrh)",16,83,18,24,29,59,70,25,129,0,0,melatonin,gnrh
535,"(cimetidine,cyp3a)",4,84,6,6,6,41,71,8,6,0,0,cimetidine,cyp3a
8,"(5-asa,inos)",18,85,24,31,37,60,72,21,5,0,0,5-asa,inos
2811,"(rabeprazole,mucin)",11,86,17,17,18,61,73,18,9,0,0,rabeprazole,mucin
903,"(dexamethasone,icam-1)",16,87,18,24,29,62,74,25,47,0,0,dexamethasone,icam-1
610,"(clenbuterol,beta2)",5,88,21,26,31,63,75,14,13,0,0,clenbuterol,beta2
3017,"(rosiglitazone,pepck)",2,89,2,32,38,64,76,7,6,0,0,rosiglitazone,pepck
2441,"(oltipraz,nrf2)",5,90,5,25,30,65,77,14,14,0,0,oltipraz,nrf2
1058,"(doxazosin,alpha1)",4,91,4,4,4,5,78,8,14,0,1,doxazosin,alpha1
783,"(cyclosporin,cox-2)",8,92,9,9,9,66,79,17,8,0,0,cyclosporin,cox-2
840,"(ddavp,p-selectin)",9,93,10,10,10,67,80,6,8,0,0,ddavp,p-selectin
3391,"(troglitazone,ppargamma)",5,94,21,33,39,68,81,14,277,0,1,troglitazone,ppargamma
735,"(curcumin,ho-1)",16,95,18,24,29,45,82,25,92,0,0,curcumin,ho-1
2743,"(propofol,beta-endorphin)",8,96,9,9,9,69,83,17,10,0,0,propofol,beta-endorphin
868,"(dexamethasone,atrogin-1)",5,97,5,25,40,70,84,14,12,0,0,dexamethasone,atrogin-1
2573,"(pge2,egr-1)",1,98,1,1,1,71,85,13,8,0,0,pge2,egr-1
2895,"(resveratrol,atf3)",11,99,12,12,12,16,86,18,6,0,0,resveratrol,atf3
1893,"(indomethacin,crth2)",5,100,5,25,40,72,87,14,10,0,1,indomethacin,crth2
2512,"(paclitaxel,tlr4)",5,101,21,26,31,49,88,14,10,0,0,paclitaxel,tlr4
2555,"(pertuzumab,erbb2)",19,102,25,34,41,73,89,15,10,1,1,pertuzumab,erbb2
1225,"(ethionamide,etha)",20,103,26,35,42,74,90,9,9,0,0,ethionamide,etha
883,"(dexamethasone,cyp2e1)",16,104,18,24,29,75,91,25,8,0,0,dexamethasone,cyp2e1
1644,"(gp120,ifn-gamma)",9,105,10,23,28,76,92,6,20,0,0,gp120,ifn-gamma
2616,"(pge2,vegf)",2,106,2,2,2,77,93,7,56,0,0,pge2,vegf
1859,"(imatinib,hoct1)",7,107,8,8,8,78,94,3,16,0,0,imatinib,hoct1
1308,"(filgrastim,lenograstim)",2,108,2,2,2,2,3,7,39,0,0,filgrastim,lenograstim
2032,"(lenograstim,filgrastim)",2,109,2,2,2,79,95,7,39,0,0,lenograstim,filgrastim
2669,"(pioglitazone,ppar)",5,110,21,33,39,68,96,14,80,0,0,pioglitazone,ppar
2427,"(octreotide,vegf)",16,111,18,24,29,62,97,25,18,0,0,octreotide,vegf
1486,"(geldanamycin,hsp70)",8,112,9,9,9,80,98,17,9,0,0,geldanamycin,hsp70
678,"(corticosteroids,pprom)",10,113,11,11,11,81,99,24,14,0,0,corticosteroids,pprom
2513,"(paclitaxel,vegf)",16,114,18,24,43,82,100,25,33,0,0,paclitaxel,vegf
1121,"(epirubicin,filgrastim)",9,115,10,10,10,12,101,6,12,0,0,epirubicin,filgrastim
2338,"(nebivolol,enos)",12,116,22,28,34,83,102,1,7,0,0,nebivolol,enos
2238,"(minocycline,fmr1)",16,117,18,19,21,84,103,25,10,0,0,minocycline,fmr1
1787,"(il-2,csf-1)",9,118,10,23,28,85,104,6,22,0,0,il-2,csf-1
1601,"(gm-csf,flt3l)",9,119,10,23,28,85,105,6,8,0,0,gm-csf,flt3l
2069,"(losartan,cyp3a4)",7,120,27,36,44,86,106,3,6,1,0,losartan,cyp3a4
2266,"(modafinil,orexin)",12,121,22,28,34,83,102,1,9,0,0,modafinil,orexin
3155,"(succinylcholine,nachr)",1,122,1,1,1,1,107,13,6,0,0,succinylcholine,nachr
685,"(coumarin,cyp3a4)",7,123,8,8,8,87,108,3,6,0,0,coumarin,cyp3a4
2229,"(mifepristone,cox-1)",8,124,9,9,9,88,109,17,6,0,0,mifepristone,cox-1
2799,"(quetiapine,cyp3a4)",7,125,8,8,8,89,110,3,21,1,0,quetiapine,cyp3a4
2418,"(octreotide,calcitonin)",16,126,18,19,21,90,111,25,7,0,0,octreotide,calcitonin
2869,"(rapamycin,pten)",14,127,28,37,45,91,112,23,58,0,0,rapamycin,pten
1815,"(il-2,il2r)",6,128,7,7,22,92,113,12,9,0,1,il-2,il2r
3324,"(tolbutamide,cyp2c)",7,129,8,8,8,54,114,3,9,0,0,tolbutamide,cyp2c
1851,"(imatinib,c-abl)",4,130,6,6,6,93,115,8,65,1,1,imatinib,c-abl
3156,"(succinyldicholine,cholinesterase)",7,131,8,8,8,78,94,3,5,1,0,succinyldicholine,cholinesterase
1382,"(fluvastatin,nf-kappab)",21,132,29,38,46,94,116,19,6,0,0,fluvastatin,nf-kappab
2312,"(naloxone,cgrp)",11,133,17,17,18,61,117,18,7,0,0,naloxone,cgrp
2352,"(ng-monomethyl-l-arginine,inos)",4,134,6,6,6,95,118,8,21,0,0,ng-monomethyl-l-arginine,inos
556,"(cisplatin,caspase-9)",1,135,1,1,1,96,119,13,18,0,0,cisplatin,caspase-9
555,"(cisplatin,caspase-8)",5,136,5,5,5,6,120,14,16,0,0,cisplatin,caspase-8
2920,"(resveratrol,mtor)",18,137,30,39,47,97,121,21,19,0,0,resveratrol,mtor
1057,"(donepezil,igf-i)",16,138,18,19,21,84,122,25,8,0,0,donepezil,igf-i
1683,"(hyaluronan,aggrecan)",12,139,13,13,13,32,123,1,78,0,0,hyaluronan,aggrecan
2305,"(nadh,sir2)",13,140,14,14,14,20,24,11,8,0,0,nadh,sir2
605,"(citalopram,sert)",22,141,31,40,48,98,124,22,53,0,1,citalopram,sert
1760,"(il-1rn,il-1ra)",23,142,32,41,49,99,125,16,18,0,0,il-1rn,il-1ra
1755,"(il-1ra,il-1rn)",12,143,13,13,13,100,126,1,18,0,0,il-1ra,il-1rn
1207,"(estradiol,tebg)",9,144,10,10,10,101,127,6,11,0,0,estradiol,tebg
397,"(capsaicin,cyclooxygenase-2)",16,145,18,24,29,62,128,25,7,0,0,capsaicin,cyclooxygenase-2
91,"(alendronate,mmp-9)",4,146,6,6,6,17,20,8,6,0,0,alendronate,mmp-9
1371,"(flurbiprofen,cox-1)",4,147,6,6,6,102,129,8,10,0,1,flurbiprofen,cox-1
1372,"(flurbiprofen,cox-2)",8,148,9,9,19,28,32,17,21,0,1,flurbiprofen,cox-2
1874,"(imipramine,fmo1)",15,149,16,27,33,51,130,10,6,0,0,imipramine,fmo1
1997,"(l-dopa,ghrh)",10,150,33,42,50,103,131,24,12,0,0,l-dopa,ghrh
277,"(azathioprine,etanercept)",9,151,10,10,10,104,132,6,7,0,0,azathioprine,etanercept
90,"(alendronate,mmp-2)",22,152,31,43,51,105,133,22,10,0,0,alendronate,mmp-2
3413,"(valganciclovir,pept1)",7,153,8,8,8,106,134,3,5,0,0,valganciclovir,pept1
2395,"(norepinephrine,gnrh)",5,154,5,25,40,107,135,14,46,0,0,norepinephrine,gnrh
3126,"(spermine,ck-1)",1,155,1,1,1,1,107,13,5,0,0,spermine,ck-1
554,"(cisplatin,caspase-3)",5,156,5,5,5,6,136,14,65,0,0,cisplatin,caspase-3
220,"(atorvastatin,oatp1b1)",7,157,27,36,44,108,137,3,6,0,0,atorvastatin,oatp1b1
553,"(cisplatin,caspase-2)",12,158,22,28,34,83,138,1,6,0,0,cisplatin,caspase-2
3399,"(urokinase,cd87)",6,159,7,7,22,92,113,12,33,0,1,urokinase,cd87
2846,"(rapamycin,huntingtin)",18,160,34,44,52,109,139,21,11,0,0,rapamycin,huntingtin
183,"(arsenite,hsp27)",12,161,22,45,53,110,140,1,23,0,0,arsenite,hsp27
2748,"(propofol,ho-1)",3,162,3,46,54,111,141,20,13,0,0,propofol,ho-1
944,"(dexamethasone,parp)",2,163,2,32,38,112,142,7,12,0,0,dexamethasone,parp
2732,"(progestogens,gnrh)",5,164,21,26,31,113,143,14,11,0,0,progestogens,gnrh
2891,"(resveratrol,ampk)",5,165,5,25,30,114,144,14,89,0,0,resveratrol,ampk
1984,"(ketoconazole,cyp51)",13,166,14,14,14,20,24,11,14,0,0,ketoconazole,cyp51
2566,"(pge2,ccr7)",9,167,10,10,10,67,80,6,8,0,0,pge2,ccr7
2245,"(mirtazapine,bdnf)",8,168,9,9,19,28,145,17,5,0,0,mirtazapine,bdnf
618,"(clofibrate,pparalpha)",5,169,21,26,31,49,56,14,50,0,1,clofibrate,pparalpha
412,"(captopril,kallikrein)",8,170,9,9,9,80,98,17,22,0,0,captopril,kallikrein
3332,"(topiramate,cgrp)",16,171,18,24,29,59,146,25,9,0,0,topiramate,cgrp
853,"(desferrioxamine,hif-1alpha)",1,172,1,1,1,115,147,13,13,0,0,desferrioxamine,hif-1alpha
1443,"(g-csf,fmlp)",9,173,10,23,28,85,148,6,21,0,0,g-csf,fmlp
1982,"(ketoconazole,cyp3a)",4,174,6,6,6,15,149,8,110,0,0,ketoconazole,cyp3a
2021,"(lapatinib,her1)",4,175,6,6,6,15,150,8,19,1,1,lapatinib,her1
2022,"(lapatinib,her2)",22,176,31,40,48,98,151,22,134,1,1,lapatinib,her2
559,"(cisplatin,chk1)",8,177,9,9,19,28,152,17,19,0,0,cisplatin,chk1
327,"(bleomycin,gm-csf)",8,178,9,47,55,116,153,17,14,0,0,bleomycin,gm-csf
2585,"(pge2,il-13)",9,179,10,10,10,117,154,6,10,0,0,pge2,il-13
3345,"(tranylcypromine,cyp2a6)",13,180,14,14,14,20,24,11,6,0,0,tranylcypromine,cyp2a6
959,"(dexamethasone,secretagogin)",8,181,9,9,19,28,145,17,5,0,0,dexamethasone,secretagogin
2586,"(pge2,il-15)",23,182,32,41,49,118,155,16,7,0,0,pge2,il-15
2584,"(pge2,il-10)",16,183,18,24,29,59,156,25,65,0,0,pge2,il-10
2169,"(metformin,hoct1)",7,184,8,8,8,106,134,3,11,0,0,metformin,hoct1
2499,"(paclitaxel,il-10)",8,185,9,9,19,28,32,17,9,0,0,paclitaxel,il-10
583,"(cisplatin,nf-kappab)",5,186,5,48,56,119,157,14,53,0,0,cisplatin,nf-kappab
2587,"(pge2,il-17)",2,187,2,32,38,120,158,7,21,0,0,pge2,il-17
2588,"(pge2,il-18)",2,188,2,32,38,64,159,7,8,0,0,pge2,il-18
2294,"(nadh,mononucleotide)",6,189,7,7,22,121,160,12,43,0,0,nadh,mononucleotide
606,"(citrulline,inos)",16,190,18,21,24,122,161,25,51,0,1,citrulline,inos
3094,"(simvastatin,pparalpha)",16,191,18,21,24,123,162,25,8,0,0,simvastatin,pparalpha
2576,"(pge2,gm-csf)",16,192,18,24,29,124,163,25,54,0,0,pge2,gm-csf
2524,"(paracetamol,cyclooxygenase-2)",13,193,14,14,14,125,164,11,6,1,1,paracetamol,cyclooxygenase-2
2172,"(metformin,mate1)",7,194,19,20,25,37,42,3,14,1,0,metformin,mate1
2591,"(pge2,il-27)",16,195,18,24,43,126,165,25,5,0,0,pge2,il-27
2302,"(nadh,oxidoreductase)",16,196,18,21,24,36,166,25,707,0,0,nadh,oxidoreductase
1283,"(fenofibrate,rbp4)",16,197,18,24,29,127,167,25,8,0,0,fenofibrate,rbp4
2590,"(pge2,il-23)",23,198,32,41,49,118,155,16,16,0,0,pge2,il-23
2935,"(reteplase,alteplase)",16,199,18,19,21,128,168,25,55,0,0,reteplase,alteplase
102,"(alteplase,reteplase)",9,200,10,10,10,12,169,6,55,0,0,alteplase,reteplase
3376,"(troglitazone,cyp1a1)",12,201,22,49,57,129,170,1,7,0,0,troglitazone,cyp1a1
1793,"(il-2,foxp3)",2,202,2,2,2,77,171,7,138,0,0,il-2,foxp3
3492,"(warfarin,hips)",10,203,11,11,11,81,99,24,8,0,0,warfarin,hips
668,"(corticosteroids,copd)",10,204,11,11,11,130,172,24,437,0,0,corticosteroids,copd
587,"(cisplatin,p-gp)",7,205,27,50,58,131,173,3,18,0,0,cisplatin,p-gp
2928,"(resveratrol,pparalpha)",1,206,1,1,1,1,107,13,6,0,0,resveratrol,pparalpha
3415,"(valsartan,at1r)",6,207,35,51,59,132,174,12,10,0,1,valsartan,at1r
602,"(cisplatin,yb-1)",12,208,22,49,57,133,175,1,30,0,0,cisplatin,yb-1
1914,"(indomethacin,pghs-1)",4,209,6,6,6,17,20,8,6,1,1,indomethacin,pghs-1
1437,"(g-csf,cd34)",2,210,2,2,2,2,3,7,488,0,0,g-csf,cd34
1435,"(g-csf,bfgf)",9,211,10,10,10,134,176,6,7,0,0,g-csf,bfgf
7,"(5-asa,egfr)",21,212,29,38,46,94,177,19,5,0,0,5-asa,egfr
3348,"(trastuzumab,cd44)",13,213,14,14,14,135,178,11,8,0,0,trastuzumab,cd44
3449,"(venlafaxine,sert)",24,214,36,52,60,136,179,4,10,1,1,venlafaxine,sert
1304,"(fibrates,pparalpha)",5,215,5,25,30,114,144,14,100,0,0,fibrates,pparalpha
2822,"(ranitidine,gastrin)",11,216,17,17,18,137,180,18,47,0,0,ranitidine,gastrin
1981,"(ketoconazole,cyp17)",4,217,6,6,6,14,181,8,6,0,0,ketoconazole,cyp17
3396,"(tropisetron,cyp2d6)",7,218,8,8,8,87,108,3,11,0,0,tropisetron,cyp2d6
1642,"(gp120,gp160)",9,219,10,23,28,85,182,6,158,0,0,gp120,gp160
2951,"(riluzole,hsf1)",8,220,9,9,9,43,183,17,13,0,0,riluzole,hsf1
2974,"(rituximab,fsgs)",10,221,11,11,11,130,172,24,41,0,0,rituximab,fsgs
2384,"(noradrenaline,inositol)",11,222,17,17,18,61,184,18,95,0,0,noradrenaline,inositol
1634,"(gm-csf,vegf)",2,223,2,2,2,3,4,7,43,0,0,gm-csf,vegf
2941,"(rifabutin,cyp3a)",7,224,19,20,25,138,185,3,12,0,0,rifabutin,cyp3a
2697,"(prasugrel,cyp2b6)",4,225,6,6,6,139,186,8,6,0,0,prasugrel,cyp2b6
2231,"(miglitol,alpha-glucosidase)",13,226,14,14,14,125,164,11,35,0,1,miglitol,alpha-glucosidase
1770,"(il-2,cd122)",2,227,2,2,2,27,187,7,34,0,1,il-2,cd122
2621,"(pgi2,pgd2)",2,228,2,2,2,3,6,7,70,0,0,pgi2,pgd2
1633,"(gm-csf,tlr2)",2,229,2,32,38,140,188,7,9,0,0,gm-csf,tlr2
1771,"(il-2,cd132)",19,230,25,53,61,141,189,15,10,0,1,il-2,cd132
2218,"(mexiletine,cyp2d6)",7,231,8,8,8,87,108,3,8,1,0,mexiletine,cyp2d6
3340,"(torsemide,cyp2c9)",7,232,8,8,8,87,108,3,5,0,0,torsemide,cyp2c9
2002,"(l-histidine,hnmt)",19,233,25,54,62,142,190,15,5,0,0,l-histidine,hnmt
365,"(cabergoline,igf-i)",11,234,17,17,18,61,184,18,28,0,0,cabergoline,igf-i
269,"(atra,trkb)",11,235,17,17,18,143,191,18,10,0,0,atra,trkb
2854,"(rapamycin,mmp-9)",4,236,6,6,6,14,181,8,8,0,0,rapamycin,mmp-9
3344,"(tranylcypromine,bdnf)",7,237,27,36,44,144,192,3,7,0,0,tranylcypromine,bdnf
732,"(curcumin,herg)",13,238,14,14,14,145,193,11,5,0,0,curcumin,herg
1600,"(gm-csf,flt-3)",5,239,21,26,31,63,194,14,10,0,0,gm-csf,flt-3
1336,"(fk506,sp-a)",19,240,25,55,63,146,195,15,6,0,0,fk506,sp-a
2949,"(riluzole,cyp1a2)",7,241,27,36,44,147,196,3,6,0,0,riluzole,cyp1a2
1597,"(gm-csf,egr-1)",16,242,18,24,29,58,197,25,30,0,0,gm-csf,egr-1
2979,"(rivastigmine,cholinesterase)",4,243,6,6,6,148,198,8,118,0,1,rivastigmine,cholinesterase
1431,"(furafylline,cyp1a2)",4,244,6,6,6,102,199,8,26,0,0,furafylline,cyp1a2
1999,"(l-dopa,mao-b)",13,245,14,14,14,20,24,11,20,0,0,l-dopa,mao-b
1998,"(l-dopa,mao-a)",20,246,37,56,64,149,200,9,7,0,0,l-dopa,mao-a
3272,"(terbutaline,beta2)",5,247,21,26,31,63,75,14,8,0,0,terbutaline,beta2
937,"(dexamethasone,nhe3)",16,248,18,19,21,84,201,25,22,0,0,dexamethasone,nhe3
398,"(capsaicin,cyp1a1)",16,249,18,24,29,127,202,25,9,0,0,capsaicin,cyp1a1
2410,"(noscapine,nf-kappab)",21,250,29,38,46,94,116,19,7,0,0,noscapine,nf-kappab
652,"(collagenase,mmp-13)",6,251,7,7,22,31,203,12,31,0,0,collagenase,mmp-13
2521,"(papaverine,pde10a)",4,252,6,6,6,150,204,8,10,0,1,papaverine,pde10a
1282,"(fenofibrate,ppargamma)",5,253,21,26,31,49,56,14,6,0,0,fenofibrate,ppargamma
1232,"(etoposide,bcl-2)",21,254,29,57,65,151,205,19,48,0,0,etoposide,bcl-2
1466,"(galantamine,cholinesterase)",13,255,14,14,14,125,206,11,65,0,1,galantamine,cholinesterase
1942,"(isoflurane,ho-1)",5,256,5,25,30,65,207,14,16,0,0,isoflurane,ho-1
334,"(bortezomib,ikappabalpha)",11,257,12,12,12,152,208,18,12,0,0,bortezomib,ikappabalpha
562,"(cisplatin,ercc1)",16,258,18,21,32,153,209,25,117,0,0,cisplatin,ercc1
1298,"(fibrates,apoc-iii)",8,259,9,9,9,43,210,17,7,0,0,fibrates,apoc-iii
498,"(chlorambucil,mrp1)",12,260,22,28,34,154,211,1,9,0,0,chlorambucil,mrp1
1396,"(forskolin,ampk)",18,261,34,58,66,155,212,21,15,0,0,forskolin,ampk
525,"(cilomilast,pde4)",4,262,6,6,6,150,213,8,22,0,0,cilomilast,pde4
1637,"(goserelin,lhrh)",5,263,21,33,39,156,214,14,36,0,0,goserelin,lhrh
2988,"(roflumilast,pde4)",4,264,6,6,6,15,215,8,66,0,1,roflumilast,pde4
1105,"(efalizumab,cd11a)",4,265,6,18,20,29,216,8,42,0,1,efalizumab,cd11a
99,"(alprazolam,cyp3a)",7,266,8,8,8,89,217,3,10,0,0,alprazolam,cyp3a
1957,"(isoproterenol,cgrp)",16,267,18,19,21,128,218,25,15,0,0,isoproterenol,cgrp
358,"(bupropion,cyp2d6)",4,268,6,6,6,14,219,8,14,0,0,bupropion,cyp2d6
2335,"(ndga,leukotriene)",13,269,14,14,14,20,24,11,15,0,0,ndga,leukotriene
1653,"(haloperidol,bdnf)",1,270,1,59,67,157,220,13,24,0,0,haloperidol,bdnf
2051,"(liraglutide,glp-1)",5,271,21,33,39,156,214,14,125,0,0,liraglutide,glp-1
3323,"(tofisopam,cyp3a4)",13,272,14,14,14,20,24,11,5,0,0,tofisopam,cyp3a4
3294,"(theophylline,leukotriene)",4,273,4,4,4,11,13,8,16,0,0,theophylline,leukotriene
2492,"(paclitaxel,cyp3a)",7,274,19,20,25,158,221,3,17,1,0,paclitaxel,cyp3a
1953,"(isoprenaline,pepck)",1,275,1,1,1,115,147,13,6,0,0,isoprenaline,pepck
3268,"(temsirolimus,mtor)",4,276,6,6,6,150,222,8,109,0,1,temsirolimus,mtor
2980,"(rizatriptan,5-ht1b)",5,277,21,33,39,159,223,14,19,0,1,rizatriptan,5-ht1b
2411,"(novobiocin,bcrp)",13,278,14,14,68,160,224,11,6,0,0,novobiocin,bcrp
936,"(dexamethasone,ngfr)",18,279,24,31,37,60,72,21,7,0,0,dexamethasone,ngfr
